# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.618	1.1600000000000001	1.840000000000001	-0.00942670661029709
1.619	1.1600000000000001	1.840000000000001	-0.009098426763395041
1.62	1.1600000000000001	1.840000000000001	-0.008767757352477624
1.621	1.1600000000000001	1.840000000000001	-0.008434698377544993
1.622	1.1600000000000001	1.840000000000001	-0.008099249838597028
1.623	1.1600000000000001	1.840000000000001	-0.007761411735633855
1.624	1.1600000000000001	1.840000000000001	-0.00742118406865535
1.625	1.1600000000000001	1.840000000000001	-0.007078566837661525
1.6260000000000001	1.1600000000000001	1.840000000000001	-0.006733560042652589
1.627	1.1600000000000001	1.840000000000001	-0.006386163683628147
1.6280000000000001	1.1600000000000001	1.840000000000001	-0.006036377760588477
1.629	1.1600000000000001	1.840000000000001	-0.005684202273533563
1.6300000000000001	1.1600000000000001	1.840000000000001	-0.0053296372224633515
1.631	1.1600000000000001	1.840000000000001	-0.004972682607377883
1.6320000000000001	1.1600000000000001	1.840000000000001	-0.0046133384282770196
1.633	1.1600000000000001	1.840000000000001	-0.004251604685160976
1.6340000000000001	1.1600000000000001	1.840000000000001	-0.003887481378029585
1.635	1.1600000000000001	1.840000000000001	-0.003520968506883
1.6360000000000001	1.1600000000000001	1.840000000000001	-0.0031520660717210894
1.637	1.1600000000000001	1.840000000000001	-0.0027807740725438942
1.6380000000000001	1.1600000000000001	1.840000000000001	-0.002407092509351373
1.639	1.1600000000000001	1.860000000000001	0.022319405566334556
1.6400000000000001	1.1600000000000001	1.860000000000001	0.022512733287559615
1.641	1.1600000000000001	1.860000000000001	0.022708773589678113
1.6420000000000001	1.1600000000000001	1.860000000000001	0.022907526472690037
1.643	1.1600000000000001	1.860000000000001	0.02310899193659542
1.6440000000000001	1.1600000000000001	1.860000000000001	0.02331316998139412
1.645	1.1600000000000001	1.860000000000001	0.023520060607086335
1.6460000000000001	1.1600000000000001	1.860000000000001	0.023729663813671885
1.647	1.1600000000000001	1.860000000000001	0.023941979601151034
1.6480000000000001	1.1600000000000001	1.860000000000001	0.02415700796952351
1.649	1.1600000000000001	1.860000000000001	0.024374748918789442
1.6500000000000001	1.1600000000000001	1.860000000000001	0.02459520244894873
1.651	1.1600000000000001	1.860000000000001	0.024818368560001497
1.6520000000000001	1.1600000000000001	1.860000000000001	0.02504424725194765
1.653	1.1600000000000001	1.860000000000001	0.02527283852478724
1.6540000000000001	1.1600000000000001	1.860000000000001	0.02550414237852027
1.655	1.1600000000000001	1.860000000000001	0.025738158813146797
