# t 	 SC 	 SH 	 IHC 
2.741	4.1799999999999935	9.844999999999995	-0.26637646777607865
2.742	4.1799999999999935	9.844999999999995	-0.26659288441011775
2.743	4.1799999999999935	9.844999999999995	-0.2667993113391032
2.744	4.1799999999999935	9.849999999999996	-0.2784506870723492
2.745	4.1799999999999935	9.849999999999996	-0.27860254778565663
2.746	4.184999999999993	9.854999999999995	-0.2698751834606453
2.747	4.184999999999993	9.854999999999995	-0.2700518118097361
2.748	4.184999999999993	9.854999999999995	-0.27021863208477415
2.749	4.184999999999993	9.859999999999996	-0.27722870751489437
2.75	4.184999999999993	9.859999999999996	-0.27738565341924293
2.751	4.184999999999993	9.859999999999996	-0.27753297288053963
2.7520000000000002	4.184999999999993	9.864999999999997	-0.2741210782822292
2.753	4.189999999999993	9.869999999999996	-0.2828658796351859
2.754	4.189999999999993	9.879999999999995	-0.29127159636582095
2.755	4.199999999999993	9.879999999999995	-0.2943394497700126
2.7560000000000002	4.199999999999993	9.879999999999995	-0.29446386249197
2.757	4.204999999999993	9.879999999999995	-0.28906193471390296
2.758	4.209999999999994	9.879999999999995	-0.2704595806904707
2.759	4.209999999999994	9.884999999999996	-0.26843852959711867
2.7600000000000002	4.209999999999994	9.884999999999996	-0.2686566521553981
2.761	4.214999999999994	9.884999999999996	-0.26377208302099053
2.762	4.214999999999994	9.884999999999996	-0.26397584694595716
2.763	4.214999999999994	9.894999999999994	-0.26917459971073043
2.7640000000000002	4.214999999999994	9.894999999999994	-0.26924538081667954
2.765	4.2199999999999935	9.894999999999994	-0.2632789525013133
2.766	4.2199999999999935	9.899999999999995	-0.26498399918935345
2.767	4.2199999999999935	9.909999999999993	-0.24899602033625973
2.7680000000000002	4.224999999999993	9.909999999999993	-0.22889059502729717
2.769	4.224999999999993	9.914999999999994	-0.24583031041095502
2.77	4.224999999999993	9.914999999999994	-0.24592223174988098
2.771	4.224999999999993	9.914999999999994	-0.24600398175275254
2.7720000000000002	4.224999999999993	9.914999999999994	-0.24607556041956913
2.773	4.224999999999993	9.929999999999994	-0.23674982262163324
2.774	4.224999999999993	9.929999999999994	-0.23673826854614513
2.775	4.229999999999993	9.934999999999993	-0.2532922743229952
2.7760000000000002	4.234999999999993	9.939999999999994	-0.24162381376712616
2.777	4.234999999999993	9.939999999999994	-0.24165915026347354
2.778	4.239999999999993	9.939999999999994	-0.2322770396823321
2.779	4.249999999999993	9.939999999999994	-0.22008929764987437
2.7800000000000002	4.249999999999993	9.939999999999994	-0.22018561425440641
2.781	4.249999999999993	9.939999999999994	-0.22027212278488573
2.782	4.254999999999993	9.954999999999993	-0.2306419908554814
2.783	4.254999999999993	9.959999999999994	-0.22611631307505825
2.7840000000000003	4.259999999999993	9.959999999999994	-0.22688716791513253
2.785	4.264999999999993	9.964999999999993	-0.19226837528151644
2.786	4.264999999999993	9.964999999999993	-0.19238416510932876
2.787	4.264999999999993	9.969999999999994	-0.1998182972347583
2.7880000000000003	4.274999999999993	9.969999999999994	-0.22298023303348533
2.789	4.279999999999994	9.984999999999994	-0.21132376299395328
2.79	4.284999999999994	10.004999999999995	-0.22823872115792823
2.791	4.289999999999994	10.004999999999995	-0.231187145570726
2.7920000000000003	4.294999999999994	10.014999999999995	-0.20161674288134201
2.793	4.294999999999994	10.019999999999996	-0.19698223340614582
2.794	4.294999999999994	10.034999999999997	-0.19271298312621885
2.795	4.299999999999994	10.039999999999997	-0.20039899097616976
2.7960000000000003	4.299999999999994	10.039999999999997	-0.2007782580462266
2.797	4.3049999999999935	10.039999999999997	-0.21108240515723425
2.798	4.3049999999999935	10.044999999999996	-0.19696702130645768
2.799	4.3049999999999935	10.044999999999996	-0.19737025116746293
2.8000000000000003	4.309999999999993	10.044999999999996	-0.20187501188653376
2.801	4.314999999999994	10.049999999999997	-0.18855358606731973
2.802	4.314999999999994	10.054999999999996	-0.17597338332550594
