# t 	 IC 	 IH 	 IHC 
5.121	16.96690195253818	21.937230203680468	7.337720985795078
5.122	16.963966555802013	21.934169241575738	7.334522772312356
5.123	16.991419825222394	21.905096279093556	7.337250222232309
5.124	17.025981722742095	21.890836095235958	7.350619033850757
5.125	17.023090761316475	21.93374256596264	7.372487713091863
5.126	17.033857820770486	21.92885962106758	7.37039638749078
5.127	17.03115488620659	21.925497410058608	7.367136200917412
5.128	17.065488988894536	21.914724557706318	7.37718109272134
5.1290000000000004	17.062772473016032	21.911136682580075	7.3737738183778925
5.13	17.06006618320636	21.90757716285145	7.370378144150138
5.131	17.057370125568898	21.904045996437947	7.366994084783676
5.132	17.05468430621091	21.90054318110413	7.363621655032629
5.133	17.05208239177314	21.869220143423483	7.369556294738747
5.134	17.049488491270452	21.865690775008332	7.3662439263533095
5.135	17.046904848558203	21.862189789548317	7.362943240161497
5.136	17.04433146995076	21.858717185391964	7.3596542514058765
5.1370000000000005	17.032325660593184	21.813871970515837	7.367796768061084
5.138	17.029639634816633	21.861839948309886	7.3447912972424865
5.139	17.08029000319313	21.865806563733926	7.358191507000244
5.14	17.055870738441687	21.861263721875744	7.274780199317165
5.141	17.053050799491864	21.856748030927807	7.271349863468879
5.142	16.901080686299935	21.826934796155403	7.227722250903104
5.143	16.898196538882775	21.822438458772854	7.224429374852209
5.144	16.89532247206453	21.817970696204522	7.221147785134668
5.1450000000000005	16.892520214230164	21.81719101651011	7.204225960002257
5.146	16.878169936911778	21.862189596019313	7.1780227466427355
5.147	16.87514759733553	21.937791401308594	7.1743273167798005
5.148	16.872397938240248	21.986381325238103	7.214672716377018
5.149	16.812700664963657	21.9816009349096	7.211776257204452
5.15	16.919955332966076	21.965842479224094	7.253661675875797
5.151	16.90863400715063	21.795414352810127	7.125560588932538
5.152	16.9058007705507	21.791240740050604	7.121831547437056
5.1530000000000005	16.902977994843006	21.787097916717908	7.118114808669764
5.154	16.90112764373065	21.782808860129304	7.099683845543592
5.155	16.898578967532618	21.7766390724889	7.098954291516936
5.156	16.8957530317168	21.772330592727865	7.095241822221537
5.157	16.892937524139626	21.76805288152871	7.091541677584355
5.158	16.89013245167579	21.763805934745218	7.0878538699077955
5.159	16.887337821219923	21.759589748052782	7.084178411506847
5.16	16.884553639686512	21.75540431694771	7.080515314708963
5.1610000000000005	16.769103040714107	21.744512016688603	7.06506068072355
5.162	16.772074435726886	21.73989227479464	7.024017980424604
5.163	16.769213932422613	21.735303160812386	7.020483292855744
5.164	16.766381111355976	21.82251765265831	7.107738412203865
5.165	16.797541686679097	21.818215094589785	7.124680414971856
5.166	16.794680771720497	21.73551265219816	7.107078759614688
5.167	16.75725036562183	21.59941909699682	7.099493209177381
5.168	16.789729703638518	21.727682185100832	7.165702675944553
5.1690000000000005	16.794159763041232	21.630024132667423	7.157271802529428
5.17	16.791960787124047	21.532905318403387	7.1390052000785325
5.171	16.808577659385353	21.525315801970947	7.147648623533231
5.172	16.806374544434785	21.521026188093384	7.14420515920551
5.173	16.804181575737214	21.51676837608754	7.140774261896064
